T [K]	C_e [J/m^3/K]
115.8	71680.2
115.9	71742.1
116.0	71804.0
116.1	71865.9
116.2	71927.8
116.3	71989.7
116.4	72051.6
116.5	72113.5
116.6	72175.4
116.7	72237.3
116.8	72299.2
116.9	72361.1
117.0	72423.0
117.1	72484.9
117.2	72546.8
117.3	72608.7
117.4	72670.6
117.5	72732.5
117.6	72794.4
117.7	72856.3
117.8	72918.2
117.9	72980.1
118.0	73042.0
118.1	73103.9
118.2	73165.8
118.3	73227.7
118.4	73289.6
118.5	73351.5
118.6	73413.4
118.7	73475.3
118.8	73537.2
118.9	73599.1
119.0	73661.0
119.1	73722.9
119.2	73784.8
119.3	73846.7
119.4	73908.6
119.5	73970.5
119.6	74032.4
119.7	74094.3
119.8	74156.2
119.9	74218.1
120.0	74280.0
120.1	74341.9
120.2	74403.8
120.3	74465.7
120.4	74527.6
120.5	74589.5
120.6	74651.4
120.7	74713.3
120.8	74775.2
120.9	74837.1
121.0	74899.0
121.1	74960.9
121.2	75022.8
121.3	75084.7
121.4	75146.6
121.5	75208.5
121.6	75270.4
121.7	75332.3
121.8	75394.2
121.9	75456.1
122.0	75518.0
122.1	75579.9
122.2	75641.8
122.3	75703.7
122.4	75765.6
122.5	75827.5
122.6	75889.4
122.7	75951.3
122.8	76013.2
122.9	76075.1
123.0	76137.0
123.1	76198.9
123.2	76260.8
123.3	76322.7
123.4	76384.6
123.5	76446.5
123.6	76508.4
123.7	76570.3
123.8	76632.2
123.9	76694.1
124.0	76756.0
124.1	76817.9
124.2	76879.8
124.3	76941.7
124.4	77003.6
124.5	77065.5
124.6	77127.4
124.7	77189.3
124.8	77251.2
124.9	77313.1
125.0	77375.0
125.1	77436.9
125.2	77498.8
125.3	77560.7
125.4	77622.6
125.5	77684.5
125.6	77746.4
125.7	77808.3
125.8	77870.2
125.9	77932.1
126.0	77994.0
126.1	78055.9
126.2	78117.8
126.3	78179.7
126.4	78241.6
126.5	78303.5
126.6	78365.4
126.7	78427.3
126.8	78489.2
126.9	78551.1
127.0	78613.0
127.1	78674.9
127.2	78736.8
127.3	78798.7
127.4	78860.6
127.5	78922.5
127.6	78984.4
127.7	79046.3
127.8	79108.2
127.9	79170.1
128.0	79232.0
128.1	79293.9
128.2	79355.79999999999
128.3	79417.70000000001
128.4	79479.6
128.5	79541.5
128.6	79603.4
128.7	79665.29999999999
128.8	79727.20000000001
128.9	79789.1
129.0	79851.0
129.1	79912.9
129.2	79974.79999999999
129.3	80036.70000000001
129.4	80098.6
129.5	80160.5
129.6	80222.4
129.7	80284.29999999999
129.8	80346.20000000001
129.9	80408.1
130.0	80470.0
130.1	80531.9
130.2	80593.79999999999
130.3	80655.70000000001
130.4	80717.6
130.5	80779.5
130.6	80841.4
130.7	80903.29999999999
130.8	80965.20000000001
130.9	81027.1
131.0	81089.0
131.1	81150.9
131.2	81212.79999999999
131.3	81274.70000000001
131.4	81336.6
131.5	81398.5
131.6	81460.4
131.7	81522.29999999999
131.8	81584.20000000001
131.9	81646.1
132.0	81708.0
132.1	81769.9
132.2	81831.79999999999
132.3	81893.70000000001
132.4	81955.6
132.5	82017.5
132.6	82079.4
132.7	82141.29999999999
132.8	82203.20000000001
132.9	82265.1
133.0	82327.0
133.1	82388.9
133.2	82450.79999999999
133.3	82512.70000000001
133.4	82574.6
133.5	82636.5
133.6	82698.4
133.7	82760.29999999999
133.8	82822.20000000001
133.9	82884.1
134.0	82946.0
134.1	83007.9
134.2	83069.79999999999
134.3	83131.70000000001
134.4	83193.6
134.5	83255.5
134.6	83317.4
134.7	83379.29999999999
134.8	83441.20000000001
134.9	83503.1
135.0	83565.0
135.1	83626.9
135.2	83688.79999999999
135.3	83750.70000000001
135.4	83812.6
135.5	83874.5
135.6	83936.4
135.7	83998.29999999999
135.8	84060.20000000001
135.9	84122.1
136.0	84184.0
136.1	84245.9
136.2	84307.79999999999
136.3	84369.70000000001
136.4	84431.6
136.5	84493.5
136.6	84555.4
136.7	84617.29999999999
136.8	84679.20000000001
136.9	84741.1
137.0	84803.0
137.1	84864.9
137.2	84926.79999999999
137.3	84988.70000000001
137.4	85050.6
137.5	85112.5
137.6	85174.4
137.7	85236.29999999999
137.8	85298.20000000001
137.9	85360.1
138.0	85422.0
138.1	85483.9
138.2	85545.79999999999
138.3	85607.70000000001
138.4	85669.6
138.5	85731.5
138.6	85793.4
138.7	85855.29999999999
138.8	85917.20000000001
138.9	85979.1
139.0	86041.0
139.1	86102.9
139.2	86164.79999999999
139.3	86226.70000000001
139.4	86288.6
139.5	86350.5
139.6	86412.4
139.7	86474.29999999999
139.8	86536.20000000001
139.9	86598.1
140.0	86660.0
140.1	86721.9
140.2	86783.79999999999
140.3	86845.70000000001
140.4	86907.6
140.5	86969.5
140.6	87031.4
140.7	87093.29999999999
140.8	87155.20000000001
140.9	87217.1
141.0	87279.0
141.1	87340.9
141.2	87402.79999999999
141.3	87464.70000000001
141.4	87526.6
