T [K]	C_p [J/m^3/K]
217.5	1324342.9683693175
217.6	1324375.1182352388
217.7	1324407.224920273
217.8	1324439.2885012033
217.9	1324471.3090546434
218.0	1324503.2866570377
218.1	1324535.221384662
218.2	1324567.1133136249
218.3	1324598.9625198662
218.4	1324630.7690791585
218.5	1324662.5330671093
218.6	1324694.2545591579
218.7	1324725.9336305782
218.8	1324757.5703564791
218.9	1324789.164811805
219.0	1324820.7170713332
219.1	1324852.2272096798
219.2	1324883.6953012953
219.3	1324915.121420468
219.4	1324946.5056413221
219.5	1324977.8480378205
219.6	1325009.1486837633
219.7	1325040.4076527897
219.8	1325071.6250183778
219.9	1325102.800853843
220.0	1325133.9352323432
220.1	1325165.0282268738
220.2	1325196.0799102725
220.3	1325227.0903552175
220.4	1325258.0596342273
220.5	1325288.9878196637
220.6	1325319.8749837289
220.7	1325350.7211984694
220.8	1325381.5265357732
220.9	1325412.291067373
221.0	1325443.0148648438
221.1	1325473.6979996054
221.2	1325504.3405429234
221.3	1325534.9425659066
221.4	1325565.5041395098
221.5	1325596.025334534
221.6	1325626.5062216257
221.7	1325656.946871278
221.8	1325687.3473538328
221.9	1325717.7077394763
222.0	1325748.0280982447
222.1	1325778.3085000217
222.2	1325808.5490145397
222.3	1325838.7497113796
222.4	1325868.9106599723
222.5	1325899.031929598
222.6	1325929.1135893867
222.7	1325959.1557083195
222.8	1325989.1583552286
222.9	1326019.1215987962
223.0	1326049.045507558
223.1	1326078.9301499003
223.2	1326108.775594062
223.3	1326138.581908135
223.4	1326168.3491600647
223.5	1326198.0774176493
223.6	1326227.7667485422
223.7	1326257.417220249
223.8	1326287.0289001327
223.9	1326316.601855409
224.0	1326346.13615315
224.1	1326375.6318602837
224.2	1326405.0890435937
224.3	1326434.5077697206
224.4	1326463.888105162
224.5	1326493.230116272
224.6	1326522.5338692637
224.7	1326551.7994302064
224.8	1326581.0268650295
224.9	1326610.2162395199
225.0	1326639.3676193235
225.1	1326668.4810699467
225.2	1326697.5566567546
225.3	1326726.5944449736
225.4	1326755.5944996898
225.5	1326784.5568858497
225.6	1326813.4816682623
225.7	1326842.368911597
225.8	1326871.218680386
225.9	1326900.0310390226
226.0	1326928.8060517649
