T [K]	C_m [J/m^3/K]
97.6	1721.4524495677324
97.7	1721.4524495677324
97.8	1721.4524495677324
97.9	1721.4524495677324
98.0	1721.4524495677324
98.1	1721.4524495677324
98.2	1721.4524495677324
98.3	1721.4524495677324
98.4	1721.4524495677324
98.5	1721.4524495677324
98.6	1721.4524495677324
98.7	1721.4524495677324
98.8	1721.4524495677324
98.9	1721.4524495677324
99.0	1721.4524495677324
99.1	1721.4524495677324
99.2	1721.4524495677324
99.3	1721.4524495677324
99.4	1721.4524495677324
99.5	1721.4524495677324
99.6	1721.4524495677324
99.7	1721.4524495677324
99.8	1721.4524495677324
99.9	1721.4524495677324
100.0	1721.4524495677324
100.1	1721.4524495677324
100.2	1721.4524495677324
100.3	1721.4524495677324
100.4	1721.4524495677324
100.5	1721.4524495677324
100.6	1721.4524495677324
100.7	1721.4524495677324
100.8	1721.4524495677324
100.9	1721.4524495677324
101.0	1721.4524495677324
101.1	1721.4524495677324
101.2	1721.4524495677324
101.3	1721.4524495677324
101.4	1721.4524495677324
101.5	1721.4524495677324
101.6	1721.4524495677324
101.7	1721.4524495677324
101.8	1721.4524495677324
101.9	1721.4524495677324
102.0	1721.4524495677324
102.1	1721.4524495677324
102.2	1721.4524495677324
102.3	1721.4524495677324
102.4	1721.4524495677324
102.5	1721.4524495677324
102.6	1721.4524495677324
102.7	1721.4524495677324
102.8	1721.4524495677324
102.9	1721.4524495677324
103.0	1721.4524495677324
103.1	1721.4524495677324
103.2	1721.4524495677324
103.3	1721.4524495677324
103.4	1721.4524495677324
103.5	1721.4524495677324
103.6	1721.4524495677324
103.7	1721.4524495677324
103.8	1721.4524495677324
103.9	1721.4524495677324
104.0	1721.4524495677324
104.1	1721.4524495677324
104.2	1721.4524495677324
104.3	1721.4524495677324
104.4	1721.4524495677324
104.5	1721.4524495677324
104.6	1721.4524495677324
104.7	1721.4524495677324
104.8	1721.4524495677324
104.9	1721.4524495677324
105.0	1721.4524495677324
105.1	1721.4524495677324
105.2	1721.4524495677324
105.3	1721.4524495677324
105.4	1721.4524495677324
105.5	1721.4524495677324
105.6	1721.4524495677324
105.7	1721.4524495677324
105.8	1721.4524495677324
105.9	1721.4524495677324
106.0	1721.4524495677324
106.1	1721.4524495677324
106.2	1721.4524495677324
106.3	1721.4524495677324
106.4	1721.4524495677324
106.5	1721.4524495677324
106.6	1721.4524495677324
106.7	1721.4524495677324
106.8	1721.4524495677324
106.9	1721.4524495677324
107.0	1721.4524495677324
107.1	1721.4524495677324
107.2	1721.4524495677324
107.3	1721.4524495677324
107.4	1721.4524495677324
107.5	1721.4524495677324
107.6	1721.4524495677324
107.7	1721.4524495677324
107.8	1721.4524495677324
107.9	1721.4524495677324
108.0	1721.4524495677324
108.1	1721.4524495677324
108.2	1721.4524495677324
108.3	1721.4524495677324
108.4	1721.4524495677324
108.5	1721.4524495677324
108.6	1721.4524495677324
108.7	1721.4524495677324
108.8	1721.4524495677324
108.9	1721.4524495677324
109.0	1721.4524495677324
109.1	1721.4524495677324
109.2	1721.4524495677324
109.3	1721.4524495677324
109.4	1721.4524495677324
109.5	1721.4524495677324
109.6	1721.4524495677324
109.7	1721.4524495677324
109.8	1721.4524495677324
109.9	1721.4524495677324
110.0	1721.4524495677324
