# Ab initio lattice heat capacity of optical phonons from Sukanyas bulk DFT
#
# Temperature [K]	C_p [J/m^3K]
520	1535349.172874919
521	1535504.4993428553
522	1535658.9586603253
523	1535812.5572219782
524	1535965.3013637213
525	1536117.1973646008
526	1536268.2514454958
527	1536418.4697718602
528	1536567.8584517492
529	1536716.4235396958
530	1536864.1710342711
531	1537011.106880306
532	1537157.236969845
533	1537302.5671399187
534	1537447.1031776236
535	1537590.8508167479
536	1537733.8157399949
537	1537876.0035797562
538	1538017.4199179318
539	1538158.0702864844
540	1538297.9601690206
541	1538437.0949996584
542	1538575.4801646252
543	1538713.1210037826
544	1538850.0228073061
545	1538986.1908211578
546	1539121.6302443766
547	1539256.3462297623
548	1539390.3438860415
549	1539523.6282763476
550	1539656.2044195808
551	1539788.0772918449
552	1539919.2518251725
553	1540049.732908531
554	1540179.525388879
555	1540308.6340714544
556	1540437.0637193082
557	1540564.8190547747
558	1540691.90475888
559	1540818.3254736373
560	1540944.085799824
561	1541069.1902995813
562	1541193.643495751
563	1541317.449872252
564	1541440.6138750315
565	1541563.1399126204
566	1541685.0323549495
567	1541806.2955354657
568	1541926.9337509377
569	1542046.9512618268
570	1542166.3522919705
571	1542285.1410304788
572	1542403.3216302474
573	1542520.8982103807
574	1542637.874853606
575	1542754.255610329
576	1542870.0444962122
577	1542985.2454932316
578	1543099.8625502721
579	1543213.8995831772
580	1543327.36047572
581	1543440.2490787962
582	1543552.5692120914
583	1543664.3246630393
584	1543775.51918774
585	1543886.1565123028
586	1543996.2403304786
587	1544105.7743071592
588	1544214.7620764556
589	1544323.2072428665
590	1544431.1133807374
591	1544538.4840363439
592	1544645.3227264197
593	1544751.6329388735
594	1544857.418133418
595	1544962.6817420362
596	1545067.4271679572
597	1545171.6577877388
598	1545275.3769504416
599	1545378.5879777553
600	1545481.2941646967
601	1545583.4987807597
602	1545685.2050673298
603	1545786.4162409878
604	1545887.1354928429
605	1545987.3659875481
606	1546087.11086495
607	1546186.3732401063
608	1546285.1562027668
609	1546383.4628183567
610	1546481.2961287356
611	1546578.659149376
612	1546675.5548748362
613	1546771.98627408
614	1546867.9562934157
615	1546963.467855691
616	1547058.5238604539
617	1547153.127185082
618	1547247.2806843175
619	1547340.987190158
620	1547434.2495132214
621	1547527.0704410751
622	1547619.4527403032
623	1547711.3991560177
624	1547802.9124116981
625	1547893.9952101994
626	1547984.650232222
627	1548074.8801395441
628	1548164.6875717563
629	1548254.0751490956
630	1548343.0454709018
631	1548431.6011174668
632	1548519.7446485264
633	1548607.4786040862
634	1548694.805505498
635	1548781.7278540952
636	1548868.2481323062
637	1548954.3688041572
638	1549040.092314104
639	1549125.4210887747
640	1549210.3575356218
641	1549294.904044915
642	1549379.062986942
643	1549462.8367171574
644	1549546.227570478
645	1549629.2378649062
646	1549711.869901853
647	1549794.1259650069
648	1549876.0083202114
649	1549957.5192180085
650	1550038.6608899268
651	1550119.435552752
652	1550199.845405907
653	1550279.8926322225
654	1550359.579398817
655	1550438.907856684
656	1550517.8801401167
657	1550596.4983692223
658	1550674.7646459728
659	1550752.6810597663
660	1550830.2496820113
661	1550907.4725705367
662	1550984.3517672995
663	1551060.889299313
664	1551137.0871795479
665	1551212.9474047408
666	1551288.4719583206
667	1551363.662808522
668	1551438.5219098066
669	1551513.0512020867
670	1551587.2526111968
671	1551661.1280486733
672	1551734.6794134094
673	1551807.9085887275
674	1551880.817445826
675	1551953.407842235
676	1552025.6816205967
677	1552097.6406131503
678	1552169.2866357588
679	1552240.6214934527
680	1552311.6469777888
681	1552382.364867108
682	1552452.776927838
683	1552522.8849121856
684	1552592.690562401
685	1552662.1956057036
686	1552731.4017587309
687	1552800.310725814
688	1552868.9241982996
689	1552937.243856342
690	1553005.271368004
691	1553073.0083896203
692	1553140.4565658108
693	1553207.6175294484
694	1553274.4929024996
695	1553341.0842948235
696	1553407.3933053205
697	1553473.4215220031
698	1553539.1705213322
699	1553604.6418684155
700	1553669.8371192478
701	1553734.7578166407
702	1553799.4054939186
703	1553863.7816739825
704	1553927.887867986
705	1553991.7255787603
706	1554055.2962962931
707	1554118.601501658
708	1554181.6426655797
709	1554244.4212487724
710	1554306.9387012436
711	1554369.196463781
712	1554431.1959667152
713	1554492.9386310852
714	1554554.4258679214
715	1554615.659078389
716	1554676.6396551877
717	1554737.3689797698
718	1554797.8484254805
719	1554858.079356321
720	1554918.0631259235
721	1554977.801080782
722	1555037.2945554988
723	1555096.5448786132
724	1555155.5533670778
725	1555214.3213310821
726	1555272.8500708973
727	1555331.140877306
728	1555389.195034741
729	1555447.0138163893
730	1555504.5984896251
731	1555561.950309825
732	1555619.070527717
733	1555675.9603833966
734	1555732.6211096006
735	1555789.0539295278
736	1555845.2600608496
737	1555901.240710691
738	1555956.9970788425
739	1556012.530358044
740	1556067.8417315106
741	1556122.9323770418
742	1556177.8034623025
743	1556232.456148392
744	1556286.8915880339
745	1556341.1109286416
746	1556395.1153069402
747	1556448.905853715
748	1556502.4836929557
749	1556555.8499403098
750	1556609.005704842
751	1556661.9520875653
752	1556714.6901829257
753	1556767.2210784827
754	1556819.5458541
755	1556871.6655831314
756	1556923.5813317727
757	1556975.294159064
758	1557026.8051173368
759	1557078.1152529495
760	1557129.2256044752
761	1557180.1372036724
762	1557230.8510767026
763	1557281.3682432699
764	1557331.6897144518
765	1557381.8164970374
766	1557431.7495904632
767	1557481.48998812
768	1557531.0386763855
769	1557580.3966364183
770	1557629.5648423997
771	1557678.544261945
772	1557727.3358578633
773	1557775.940585251
774	1557824.3593950968
775	1557872.5932295108
776	1557920.6430280376
777	1557968.5097213262
778	1558016.1942370827
779	1558063.6974935797
780	1558111.020406578
781	1558158.1638848966
782	1558205.1288307724
783	1558251.9161420297
784	1558298.5267103757
785	1558344.9614221375
786	1558391.2211582065
787	1558437.3067927135
788	1558483.2191968989
789	1558528.9592340416
790	1558574.527763186
791	1558619.9256381039
792	1558665.1537076521
793	1558710.2128143378
794	1558755.103795771
795	1558799.8274857246
796	1558844.3847106337
797	1558888.7762934007
798	1558933.0030522645
799	1558977.0657985585
800	1559020.9653404052
801	1559064.7024792896
802	1559108.278014259
803	1559151.6927365751
804	1559194.9474355625
805	1559238.0428926
806	1559280.9798874334
807	1559323.7591927613
808	1559366.3815779083
809	1559408.8478069443
810	1559451.1586389889
811	1559493.3148298243
812	1559535.3171288662
813	1559577.1662828038
814	1559618.8630330707
815	1559660.4081153432
816	1559701.8022632338
817	1559743.0462049209
818	1559784.140663059
819	1559825.086358095
820	1559865.8840037868
821	1559906.5343127605
822	1559947.0379893933
823	1559987.3957375945
824	1560027.6082548173
825	1560067.6762347117
826	1560107.6003678783
827	1560147.3813396804
828	1560187.0198316071
829	1560226.516520986
830	1560265.8720829207
831	1560305.08718473
832	1560344.1624939484
833	1560383.0986716882
834	1560421.8963750806
835	1560460.5562600004
836	1560499.0789744314
837	1560537.465165352
838	1560575.7154760817
839	1560613.8305450974
840	1560651.8110062475
841	1560689.657491839
842	1560727.3706301963
843	1560764.9510435448
844	1560802.3993532856
845	1560839.7161760842
846	1560876.9021246245
847	1560913.9578091507
848	1560950.8838345613
849	1560987.6808047153
850	1561024.3493177318
851	1561060.889969685
852	1561097.3033524514
853	1561133.5900543933
854	1561169.7506616823
855	1561205.7857556138
856	1561241.695915258
857	1561277.4817153076
858	1561313.143728986
859	1561348.6825227353
860	1561384.0986642905
861	1561419.3927151787
862	1561454.56523413
863	1561489.6167770042
864	1561524.5478966124
865	1561559.35914268
866	1561594.0510612733
867	1561628.624195661
868	1561663.0790864923
869	1561697.4162710812
870	1561731.636282364
871	1561765.7396526316
872	1561799.7269098705
873	1561833.598578444
874	1561867.3551817462
875	1561900.9972378258
876	1561934.5252636569
877	1561967.9397722664
878	1562001.241274564
879	1562034.4302784116
880	1562067.5072881903
881	1562100.472806237
882	1562133.3273309062
883	1562166.0713601585
884	1562198.7053862493
885	1562231.2299010055
886	1562263.645392844
887	1562295.9523457703
888	1562328.1512443635
889	1562360.2425671406
890	1562392.2267932282
891	1562424.1043958333
892	1562455.8758480926
893	1562487.5416200552
894	1562519.1021768576
895	1562550.5579851787
896	1562581.9095054902
897	1562613.157197439
898	1562644.3015185567
899	1562675.342921387
900	1562706.2818596943
901	1562737.1187826497
902	1562767.854135696
903	1562798.4883645603
904	1562829.0219110972
905	1562859.455214721
906	1562889.788712407
907	1562920.0228400182
908	1562950.158028969
909	1562980.1947098859
910	1563010.1333114204
911	1563039.9742573113
912	1563069.7179726225
913	1563099.3648770035
914	1563128.915389851
915	1563158.3699272615
916	1563187.7289034307
917	1563216.992730366
918	1563246.1618179937
919	1563275.23657355
920	1563304.217402441
921	1563333.1047083517
922	1563361.8988911277
923	1563390.600351082
924	1563419.2094841143
925	1563447.7266852995
926	1563476.152346233
927	1563504.4868589041
928	1563532.7306104964
929	1563560.8839879765
930	1563588.9473750833
931	1563616.9211543729
932	1563644.8057063182
933	1563672.601407879
934	1563700.3086382742
935	1563727.9277675387
936	1563755.459170694
937	1563782.9032177033
938	1563810.260276773
939	1563837.5307135256
940	1563864.7148934398
941	1563891.8131786594
942	1563918.8259294615
943	1563945.7535056218
944	1563972.5962634718
945	1563999.354558123
946	1564026.028742786
947	1564052.6191681607
948	1564079.1261852689
949	1564105.5501406845
950	1564131.8913799413
951	1564158.1502491108
952	1564184.3270882738
953	1564210.422239198
954	1564236.4360405994
955	1564262.3688288294
956	1564288.22094056
957	1564313.992706976
958	1564339.684463208
959	1564365.2965370666
960	1564390.8292572265
961	1564416.282951391
962	1564441.657943463
963	1564466.9545575227
964	1564492.1731161093
965	1564517.3139379588
966	1564542.377342238
967	1564567.363645243
968	1564592.2731640246
969	1564617.1062091393
970	1564641.8630953413
971	1564666.5441322906
972	1564691.149628177
973	1564715.6798913681
974	1564740.1352258571
975	1564764.515938577
976	1564788.822329251
977	1564813.0547016563
978	1564837.2133533997
979	1564861.298583629
980	1564885.3106883382
981	1564909.249963913
982	1564933.116702185
983	1564956.9111962402
984	1564980.6337365473
985	1565004.2846130352
986	1565027.864112584
987	1565051.3725218596
988	1565074.8101261281
989	1565098.1772073908
990	1565121.4740501246
991	1565144.7009324925
992	1565167.8581362816
993	1565190.9459373942
994	1565213.9646123075
995	1565236.9144376428
996	1565259.7956867558
997	1565282.6086300602
998	1565305.3535415593
999	1565328.0306891915
